"country","year","value","climate_model","scenario","variable"
"BDI",1960,104.875347845515,"gfdl","historic","precipitation"
"BOL",1960,135.686826162051,"gfdl","historic","precipitation"
"CAF",1960,167.668712474315,"gfdl","historic","precipitation"
"CHL",1960,7.50427441304147,"gfdl","historic","precipitation"
"CHN",1960,90.2920172902518,"gfdl","historic","precipitation"
"CMR",1960,233.437030672768,"gfdl","historic","precipitation"
"COL",1960,128.679389275318,"gfdl","historic","precipitation"
"CRI",1960,115.959714912224,"gfdl","historic","precipitation"
"DOM",1960,100.819550932925,"gfdl","historic","precipitation"
"EGY",1960,1.68262501872013,"gfdl","historic","precipitation"
"GHA",1960,171.350934233769,"gfdl","historic","precipitation"
"GTM",1960,70.458662669575,"gfdl","historic","precipitation"
"KEN",1960,47.1494238890971,"gfdl","historic","precipitation"
"MAR",1960,48.6234428743499,"gfdl","historic","precipitation"
"MEX",1960,106.911188554776,"gfdl","historic","precipitation"
"MOZ",1960,138.769801940049,"gfdl","historic","precipitation"
"NIC",1960,33.2330164736034,"gfdl","historic","precipitation"
"PAN",1960,192.733150940713,"gfdl","historic","precipitation"
"PER",1960,120.902422474631,"gfdl","historic","precipitation"
"PHL",1960,131.775446316691,"gfdl","historic","precipitation"
"RWA",1960,51.8145607868389,"gfdl","historic","precipitation"
"SLV",1960,26.2678856243985,"gfdl","historic","precipitation"
"TCD",1960,103.887135648225,"gfdl","historic","precipitation"
"THA",1960,138.754449981788,"gfdl","historic","precipitation"
"BDI",1961,125.467641250803,"gfdl","historic","precipitation"
"BDI",1962,125.324510436995,"gfdl","historic","precipitation"
"BDI",1963,136.317846862777,"gfdl","historic","precipitation"
"BDI",1964,164.466835133953,"gfdl","historic","precipitation"
"BDI",1965,133.986166560169,"gfdl","historic","precipitation"
"BDI",1966,119.137010781823,"gfdl","historic","precipitation"
"BDI",1967,159.311193031746,"gfdl","historic","precipitation"
"BDI",1968,187.971891363401,"gfdl","historic","precipitation"
"BDI",1969,147.886369840211,"gfdl","historic","precipitation"
"BDI",1970,136.180344317393,"gfdl","historic","precipitation"
"BOL",1961,117.398685062817,"gfdl","historic","precipitation"
"BOL",1962,122.129529103308,"gfdl","historic","precipitation"
"BOL",1963,159.414493586463,"gfdl","historic","precipitation"
"BOL",1964,130.361121375416,"gfdl","historic","precipitation"
"BOL",1965,109.837398956714,"gfdl","historic","precipitation"
"BOL",1966,135.03694946936,"gfdl","historic","precipitation"
"BOL",1967,151.838687887123,"gfdl","historic","precipitation"
"BOL",1968,155.313029252374,"gfdl","historic","precipitation"
"BOL",1969,127.736140995269,"gfdl","historic","precipitation"
"BOL",1970,106.150294056355,"gfdl","historic","precipitation"
"CAF",1961,170.65017508674,"gfdl","historic","precipitation"
"CAF",1962,157.802118671491,"gfdl","historic","precipitation"
"CAF",1963,152.647536766924,"gfdl","historic","precipitation"
"CAF",1964,170.216108431746,"gfdl","historic","precipitation"
"CAF",1965,111.993097115605,"gfdl","historic","precipitation"
"CAF",1966,157.27613786431,"gfdl","historic","precipitation"
"CAF",1967,149.363474713537,"gfdl","historic","precipitation"
"CAF",1968,166.384206991397,"gfdl","historic","precipitation"
"CAF",1969,179.477865528166,"gfdl","historic","precipitation"
"CAF",1970,185.833136614858,"gfdl","historic","precipitation"
"CHL",1961,15.0091386757891,"gfdl","historic","precipitation"
"CHL",1962,19.7622470226405,"gfdl","historic","precipitation"
"CHL",1963,5.14621563200591,"gfdl","historic","precipitation"
"CHL",1964,5.84920326457001,"gfdl","historic","precipitation"
"CHL",1965,9.57750103972254,"gfdl","historic","precipitation"
"CHL",1966,19.1605200579867,"gfdl","historic","precipitation"
"CHL",1967,9.36736815913227,"gfdl","historic","precipitation"
"CHL",1968,4.00337985308267,"gfdl","historic","precipitation"
"CHL",1969,11.5144813291146,"gfdl","historic","precipitation"
"CHL",1970,5.6788187222778,"gfdl","historic","precipitation"
"CHN",1961,112.523406343522,"gfdl","historic","precipitation"
"CHN",1962,119.065816033188,"gfdl","historic","precipitation"
"CHN",1963,92.6611136819893,"gfdl","historic","precipitation"
"CHN",1964,95.7101333336071,"gfdl","historic","precipitation"
"CHN",1965,101.35782359393,"gfdl","historic","precipitation"
"CHN",1966,105.553733344309,"gfdl","historic","precipitation"
"CHN",1967,91.3112366068652,"gfdl","historic","precipitation"
"CHN",1968,95.1315498935336,"gfdl","historic","precipitation"
"CHN",1969,109.482279972592,"gfdl","historic","precipitation"
"CHN",1970,88.112889202919,"gfdl","historic","precipitation"
"CMR",1961,195.385397983262,"gfdl","historic","precipitation"
"CMR",1962,266.469795501605,"gfdl","historic","precipitation"
"CMR",1963,236.678971035227,"gfdl","historic","precipitation"
"CMR",1964,268.900952360928,"gfdl","historic","precipitation"
"CMR",1965,173.192884242326,"gfdl","historic","precipitation"
"CMR",1966,186.504263287214,"gfdl","historic","precipitation"
"CMR",1967,233.646206555217,"gfdl","historic","precipitation"
"CMR",1968,251.622616308337,"gfdl","historic","precipitation"
"CMR",1969,266.011019242474,"gfdl","historic","precipitation"
"CMR",1970,252.348338094047,"gfdl","historic","precipitation"
"COL",1961,459.11582582087,"gfdl","historic","precipitation"
"COL",1962,240.979154929645,"gfdl","historic","precipitation"
