"V1","country","year","value","crop_model","climate_model","scenario","co2","irrigation"
19961,"BDI",2006,0.59259712887715,"lpjml","gfdl","rcp2.6","yes","no"
19962,"BDI",2007,0.587011301811907,"lpjml","gfdl","rcp2.6","yes","no"
19963,"BDI",2008,0.65271250686148,"lpjml","gfdl","rcp2.6","yes","no"
19964,"BDI",2009,0.624639691582204,"lpjml","gfdl","rcp2.6","yes","no"
19965,"BDI",2010,0.726268326999108,"lpjml","gfdl","rcp2.6","yes","no"
20011,"BOL",2006,1.45097120036836,"lpjml","gfdl","rcp2.6","yes","no"
20012,"BOL",2007,1.87401925520371,"lpjml","gfdl","rcp2.6","yes","no"
20013,"BOL",2008,2.4004460482511,"lpjml","gfdl","rcp2.6","yes","no"
20014,"BOL",2009,2.09001497825941,"lpjml","gfdl","rcp2.6","yes","no"
20015,"BOL",2010,1.83160933615658,"lpjml","gfdl","rcp2.6","yes","no"
20036,"CAF",2006,0.600161002156972,"lpjml","gfdl","rcp2.6","yes","no"
20037,"CAF",2007,0.597608230585153,"lpjml","gfdl","rcp2.6","yes","no"
20038,"CAF",2008,0.600505516203464,"lpjml","gfdl","rcp2.6","yes","no"
20039,"CAF",2009,0.622491025519705,"lpjml","gfdl","rcp2.6","yes","no"
20040,"CAF",2010,0.60714539713435,"lpjml","gfdl","rcp2.6","yes","no"
20051,"CHL",2006,0.290162610851336,"lpjml","gfdl","rcp2.6","yes","no"
20052,"CHL",2007,0.405203676915644,"lpjml","gfdl","rcp2.6","yes","no"
20053,"CHL",2008,0.256860662223383,"lpjml","gfdl","rcp2.6","yes","no"
20054,"CHL",2009,0.439703727094406,"lpjml","gfdl","rcp2.6","yes","no"
20055,"CHL",2010,0.380211890705393,"lpjml","gfdl","rcp2.6","yes","no"
20056,"CHN",2006,2.76274432399544,"lpjml","gfdl","rcp2.6","yes","no"
20057,"CHN",2007,2.73912160221587,"lpjml","gfdl","rcp2.6","yes","no"
20058,"CHN",2008,2.76091039761164,"lpjml","gfdl","rcp2.6","yes","no"
20059,"CHN",2009,2.99115444715415,"lpjml","gfdl","rcp2.6","yes","no"
20060,"CHN",2010,2.56497215454272,"lpjml","gfdl","rcp2.6","yes","no"
20066,"CMR",2006,1.62548024175163,"lpjml","gfdl","rcp2.6","yes","no"
20067,"CMR",2007,1.38990719081458,"lpjml","gfdl","rcp2.6","yes","no"
20068,"CMR",2008,1.48390740347957,"lpjml","gfdl","rcp2.6","yes","no"
20069,"CMR",2009,1.49247819017844,"lpjml","gfdl","rcp2.6","yes","no"
20070,"CMR",2010,1.47018293770158,"lpjml","gfdl","rcp2.6","yes","no"
20086,"COL",2006,1.48242006504244,"lpjml","gfdl","rcp2.6","yes","no"
20087,"COL",2007,1.45403416478758,"lpjml","gfdl","rcp2.6","yes","no"
20088,"COL",2008,1.30602618511069,"lpjml","gfdl","rcp2.6","yes","no"
20089,"COL",2009,1.29280377180159,"lpjml","gfdl","rcp2.6","yes","no"
20090,"COL",2010,1.57896807794758,"lpjml","gfdl","rcp2.6","yes","no"
20096,"CRI",2006,1.55384129461046,"lpjml","gfdl","rcp2.6","yes","no"
20097,"CRI",2007,1.42190549925137,"lpjml","gfdl","rcp2.6","yes","no"
20098,"CRI",2008,1.35324486950275,"lpjml","gfdl","rcp2.6","yes","no"
20099,"CRI",2009,1.37850642386046,"lpjml","gfdl","rcp2.6","yes","no"
20100,"CRI",2010,1.60879959495555,"lpjml","gfdl","rcp2.6","yes","no"
20131,"DOM",2006,0.718819608631373,"lpjml","gfdl","rcp2.6","yes","no"
20132,"DOM",2007,0.717029128332614,"lpjml","gfdl","rcp2.6","yes","no"
20133,"DOM",2008,0.704326389796294,"lpjml","gfdl","rcp2.6","yes","no"
20134,"DOM",2009,0.726526897079942,"lpjml","gfdl","rcp2.6","yes","no"
20135,"DOM",2010,0.756041072214289,"lpjml","gfdl","rcp2.6","yes","no"
20146,"EGY",2006,0.0847548578900481,"lpjml","gfdl","rcp2.6","yes","no"
20147,"EGY",2007,0.0964497069530269,"lpjml","gfdl","rcp2.6","yes","no"
20148,"EGY",2008,0.0995156218791087,"lpjml","gfdl","rcp2.6","yes","no"
