Year,CO2,Temp,Scenario
2000,368.87,0.142766667,26
2001,370.47,0.199183333,26
2002,372.52,0.242766667,26
2003,374.76,0.257183333,26
2004,376.81,0.267933333,26
2005,378.81,0.30035,26
2006,380.83,0.304766667,26
2007,382.78,0.32185,26
2008,384.80,0.33535,26
2009,387.00,0.343766667,26
2010,389.29,0.36335,26
2011,391.56,0.3891,26
2012,393.84,0.438516667,26
2013,396.12,0.4556,26
2014,398.40,0.504433333,26
2015,400.68,0.5166,26
2016,402.97,0.534016667,26
2017,405.25,0.531933333,26
2018,407.53,0.5641,26
2019,409.80,0.585266667,26
2020,412.07,0.601266667,26
2021,414.33,0.622683333,26
2022,416.52,0.649766667,26
2023,418.60,0.684933333,26
2024,420.60,0.688933333,26
2025,422.52,0.713266667,26
2026,424.35,0.737683333,26
2027,426.10,0.74785,26
2028,427.75,0.740683333,26
2029,429.31,0.767683333,26
2030,430.78,0.79785,26
2031,432.16,0.803433333,26
2032,433.44,0.8056,26
2033,434.59,0.81685,26
2034,435.65,0.829183333,26
2035,436.63,0.837016667,26
2036,437.52,0.858183333,26
2037,438.33,0.879183333,26
2038,439.06,0.918683333,26
2039,439.69,0.908683333,26
2040,440.22,0.9336,26
2041,440.66,0.949433333,26
2042,441.02,0.932683333,26
2043,441.35,0.931433333,26
2044,441.62,0.940183333,26
2045,441.86,0.95535,26
2046,442.08,0.978766667,26
2047,442.28,0.96985,26
2048,442.46,0.98535,26
2049,442.60,0.992266667,26
2050,442.70,0.992516667,26
2051,442.75,0.978266667,26
2052,442.76,0.999016667,26
2053,442.73,1.001766667,26
2054,442.66,0.9846,26
2055,442.55,0.991266667,26
2056,442.41,1.017516667,26
2057,442.25,0.986766667,26
2058,442.08,0.99035,26
2059,441.89,1.0046,26
2060,441.67,1.02035,26
2061,441.42,1.028433333,26
2062,441.13,1.02385,26
2063,440.80,1.005433333,26
2064,440.43,0.970433333,26
2065,440.01,0.99785,26
2066,439.54,0.990516667,26
2067,439.05,1.002266667,26
2068,438.54,0.984933333,26
2069,438.02,0.989933333,26
2070,437.48,0.9956,26
2071,436.92,1.0001,26
2072,436.34,0.975933333,26
2073,435.76,0.980683333,26
2074,435.18,0.978016667,26
2075,434.60,0.99535,26
2076,434.00,1.00085,26
2077,433.38,0.976433333,26
2078,432.78,0.971516667,26
2079,432.19,0.970016667,26
2080,431.62,0.965766667,26
2081,431.06,0.961933333,26
2082,430.51,0.971683333,26
2083,429.96,0.9611,26
2084,429.41,0.952266667,26
2085,428.86,0.952933333,26
2086,428.30,0.9686,26
2087,427.73,0.986516667,26
2088,427.14,0.978433333,26
2089,426.57,0.968933333,26
2090,426.00,0.98185,26
2091,425.46,0.9656,26
2092,424.94,0.98735,26
2093,424.43,0.987433333,26
2094,423.93,0.98985,26
2095,423.43,0.975516667,26
2096,422.93,0.970683333,26
2097,422.43,0.987766667,26
2098,421.92,0.963016667,26
2099,421.40,0.97335,26
2100,420.90,0.964183333,26
2000,368.87,0.1351375,45
2001,370.47,0.209970833,45
2002,372.52,0.2361375,45
2003,374.76,0.2483875,45
2004,376.81,0.270970833,45
2005,378.81,0.2831375,45
2006,380.83,0.3203875,45
2007,382.78,0.327804167,45
2008,384.80,0.3286375,45
2009,386.95,0.320804167,45
2010,389.13,0.351470833,45
2011,391.27,0.390054167,45
2012,393.42,0.4091375,45
2013,395.58,0.437970833,45
2014,397.76,0.482220833,45
2015,399.97,0.4866375,45
2016,402.18,0.5113875,45
2017,404.41,0.5311375,45
2018,406.64,0.537470833,45
2019,408.88,0.548470833,45
2020,411.13,0.5518875,45
2021,413.38,0.590970833,45
2022,415.64,0.617970833,45
2023,417.94,0.659720833,45
2024,420.27,0.693554167,45
2025,422.66,0.706470833,45
2026,425.08,0.7418875,45
2027,427.54,0.765220833,45
2028,430.02,0.780970833,45
2029,432.52,0.810970833,45
2030,435.05,0.801470833,45
2031,437.59,0.836470833,45
2032,440.13,0.865220833,45
2033,442.66,0.8716375,45
2034,445.21,0.907054167,45
2035,447.77,0.933804167,45
2036,450.36,0.953554167,45
2037,452.96,0.997304167,45
2038,455.59,1.0096375,45
2039,458.22,1.0283875,45
2040,460.84,1.056554167,45
2041,463.48,1.0696375,45
2042,466.09,1.078220833,45
2043,468.68,1.095970833,45
2044,471.23,1.103804167,45
2045,473.78,1.1263875,45
2046,476.33,1.163054167,45
2047,478.88,1.195470833,45
2048,481.44,1.213054167,45
2049,483.99,1.238970833,45
2050,486.54,1.2768875,45
2051,489.06,1.2898875,45
2052,491.54,1.2921375,45
2053,493.93,1.307054167,45
2054,496.24,1.3198875,45
2055,498.47,1.3538875,45
2056,500.65,1.3511375,45
2057,502.77,1.359470833,45
2058,504.85,1.392720833,45
2059,506.88,1.426304167,45
2060,508.87,1.448470833,45
2061,510.80,1.459970833,45
2062,512.65,1.441470833,45
2063,514.40,1.4671375,45
2064,516.06,1.517304167,45
2065,517.63,1.516304167,45
2066,519.10,1.5106375,45
2067,520.49,1.5293875,45
2068,521.82,1.528304167,45
2069,523.09,1.510304167,45
2070,524.30,1.5553875,45
2071,525.45,1.564970833,45
2072,526.51,1.582470833,45
2073,527.46,1.607470833,45
2074,528.30,1.583220833,45
2075,529.03,1.5923875,45
2076,529.64,1.608554167,45
2077,530.14,1.621304167,45
2078,530.55,1.648054167,45
2079,530.88,1.663720833,45
2080,531.14,1.652554167,45
2081,531.32,1.652054167,45
2082,531.49,1.666970833,45
2083,531.70,1.661970833,45
2084,531.94,1.679970833,45
2085,532.20,1.696720833,45
2086,532.49,1.7196375,45
2087,532.78,1.710970833,45
2088,533.07,1.705054167,45
2089,533.39,1.719970833,45
2090,533.74,1.7126375,45
2091,534.13,1.709054167,45
2092,534.56,1.704804167,45
2093,535.01,1.700970833,45
2094,535.48,1.707054167,45
2095,535.95,1.756720833,45
2096,536.44,1.755554167,45
2097,536.92,1.7486375,45
2098,537.40,1.7758875,45
2099,537.87,1.7688875,45
2100,538.36,1.7851375,45
2000,368.87,0.139158333,60
2001,370.47,0.211908333,60
2002,372.52,0.250075,60
2003,374.76,0.249325,60
2004,376.81,0.263825,60
2005,378.81,0.301908333,60
2006,380.83,0.308575,60
2007,382.78,0.310408333,60
2008,384.80,0.322075,60
2009,386.95,0.347741667,60
2010,389.13,0.337575,60
2011,391.27,0.371658333,60
2012,393.42,0.393658333,60
2013,395.58,0.427825,60
2014,397.76,0.464741667,60
2015,399.97,0.472825,60
2016,402.18,0.477408333,60
2017,404.41,0.490408333,60
2018,406.64,0.515575,60
2019,408.88,0.536991667,60
2020,411.13,0.561741667,60
2021,413.38,0.554575,60
2022,415.64,0.559408333,60
2023,417.94,0.603658333,60
2024,420.27,0.624158333,60
2025,422.66,0.667158333,60
2026,425.08,0.678491667,60
2027,427.54,0.696158333,60
2028,430.02,0.735325,60
2029,432.52,0.728241667,60
2030,435.05,0.721741667,60
2031,437.59,0.778658333,60
2032,440.13,0.777408333,60
2033,442.66,0.783908333,60
2034,445.21,0.826575,60
2035,447.77,0.847658333,60
2036,450.36,0.846325,60
2037,452.96,0.879158333,60
2038,455.59,0.917325,60
2039,458.22,0.938575,60
2040,460.84,0.934075,60
2041,463.48,0.998408333,60
2042,466.09,1.013075,60
2043,468.68,1.013325,60
2044,471.23,1.040991667,60
2045,473.78,1.061325,60
2046,476.33,1.091075,60
2047,478.88,1.113825,60
2048,481.44,1.129075,60
2049,483.99,1.147408333,60
2050,486.54,1.151075,60
2051,489.06,1.177158333,60
2052,491.54,1.219575,60
2053,493.93,1.250075,60
2054,496.24,1.262825,60
2055,498.47,1.287575,60
2056,500.65,1.284825,60
2057,502.77,1.297741667,60
2058,504.85,1.362158333,60
2059,506.88,1.384908333,60
2060,508.87,1.404575,60
2061,510.80,1.421158333,60
2062,512.65,1.448825,60
2063,514.40,1.447408333,60
2064,516.06,1.474325,60
2065,517.63,1.494741667,60
2066,519.10,1.562491667,60
2067,520.49,1.578491667,60
2068,521.82,1.622408333,60
2069,523.09,1.637825,60
2070,524.30,1.667658333,60
2071,525.45,1.720408333,60
2072,526.51,1.724325,60
2073,527.46,1.753908333,60
2074,528.30,1.784408333,60
2075,529.03,1.811908333,60
2076,529.64,1.826991667,60
2077,530.14,1.860241667,60
2078,530.55,1.904575,60
2079,530.88,1.955825,60
2080,531.14,1.969908333,60
2081,531.32,1.970158333,60
2082,531.49,2.005158333,60
2083,531.70,2.031158333,60
2084,531.94,2.080908333,60
2085,532.20,2.108658333,60
2086,532.49,2.128741667,60
2087,532.78,2.145908333,60
2088,533.07,2.161575,60
2089,533.39,2.200825,60
2090,533.74,2.244658333,60
2091,534.13,2.258575,60
2092,534.56,2.239908333,60
2093,535.01,2.266991667,60
2094,535.48,2.290408333,60
2095,535.95,2.339825,60
2096,536.44,2.320658333,60
2097,536.92,2.330325,60
2098,537.40,2.371241667,60
2099,537.87,2.392325,60
2100,538.36,2.414325,60
2000,368.87,0.139033333,85
2001,370.47,0.1997,85
2002,372.52,0.221783333,85
2003,374.76,0.232616667,85
2004,376.81,0.254783333,85
2005,378.81,0.276783333,85
2006,380.83,0.293616667,85
2007,382.78,0.285283333,85
2008,384.80,0.3122,85
2009,387.01,0.343116667,85
2010,389.32,0.358783333,85
2011,391.64,0.363533333,85
2012,394.01,0.39395,85
2013,396.46,0.449283333,85
2014,399.00,0.478616667,85
2015,401.63,0.51845,85
2016,404.33,0.5482,85
2017,407.10,0.56345,85
2018,409.93,0.564283333,85
2019,412.82,0.587533333,85
2020,415.78,0.622366667,85
2021,418.80,0.680866667,85
2022,421.86,0.7262,85
2023,424.99,0.733866667,85
2024,428.20,0.750033333,85
2025,431.47,0.8097,85
2026,434.83,0.875033333,85
2027,438.24,0.889783333,85
2028,441.72,0.928033333,85
2029,445.25,0.9497,85
2030,448.83,0.945783333,85
2031,452.47,0.983033333,85
2032,456.18,1.027116667,85
2033,459.96,1.054616667,85
2034,463.85,1.096866667,85
2035,467.85,1.132033333,85
2036,471.96,1.1757,85
2037,476.18,1.204283333,85
2038,480.51,1.24545,85
2039,484.93,1.315033333,85
2040,489.44,1.344616667,85
2041,494.03,1.36345,85
2042,498.73,1.39045,85
2043,503.53,1.46245,85
2044,508.43,1.500533333,85
2045,513.46,1.5087,85
2046,518.61,1.561866667,85
2047,523.90,1.632366667,85
2048,529.32,1.666866667,85
2049,534.88,1.6787,85
2050,540.54,1.766783333,85
2051,546.32,1.798783333,85
2052,552.21,1.8362,85
2053,558.21,1.895116667,85
2054,564.31,1.924116667,85
2055,570.52,1.976033333,85
2056,576.84,2.0162,85
2057,583.30,2.066116667,85
2058,589.91,2.126616667,85
2059,596.65,2.156116667,85
2060,603.52,2.222533333,85
